Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
6,David Yanagizawa-Drott,2039376829.0,16632.0,david yanagizawadrott,202697423.0,44.0,30.0,848.0,2016-06-24
7,Jakub Kastl,2169129460.0,16592.0,jakub kastl,20089843.0,51.0,34.0,394.0,2016-06-24
9,Itamar Drechsler,1950831029.0,15748.0,itamar drechsler,79576946.0,39.0,22.0,2161.0,2016-06-24
12,Patrick Kline,2343353932.0,15058.0,patrick kline,95457486.0,97.0,45.0,3722.0,2016-06-24
16,Amit Seru,273194589.0,14951.0,amit seru,97018004.0,121.0,66.0,5123.0,2016-06-24
24,Jan De Loecker,1859497523.0,15051.0,jan de loecker,1321305853.0,72.0,38.0,3175.0,2016-06-24
26,Stefanie Stantcheva,2501900208.0,15700.0,stefanie stantcheva,136199984.0,108.0,51.0,1560.0,2016-08-23
27,Noam Yuchtman,2500378129.0,16266.0,noam yuchtman,95457486.0,72.0,39.0,953.0,2016-08-23
28,Pietro Ortoleva,2136818508.0,16469.0,pietro ortoleva,20089843.0,64.0,40.0,835.0,2016-06-24
29,Bertil Tungodden,128282678.0,14900.0,bertil tungodden,931913249.0,216.0,145.0,3260.0,2016-06-24
30,Edwin Leuven,2148055046.0,14857.0,edwin leuven,184942183.0,112.0,70.0,4317.0,2016-06-24
32,Chad Syverson,2058992540.0,14222.0,chad syverson,40347166.0,140.0,77.0,7421.0,2016-06-24
33,Francesco Trebbi,231393685.0,14265.0,francesco trebbi,1321305853.0,127.0,57.0,7899.0,2016-06-24
35,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
39,James J. Heckman,1877272218.0,11385.0,james j heckman,40347166.0,891.0,542.0,113601.0,2016-06-24
41,Kjetil Storesletten,220486011.0,14493.0,kjetil storesletten,184942183.0,133.0,73.0,5297.0,2016-06-24
42,Emir Kamenica,2511827504.0,15799.0,emir kamenica,40347166.0,50.0,34.0,2343.0,2016-09-16
45,Rachel Griffith,2155660295.0,13419.0,rachel griffith,28407311.0,339.0,258.0,15278.0,2016-06-24
46,Ben Handel,3045085239.0,20128.0,ben handel,95457486.0,3.0,2.0,0.0,2020-07-29
47,Raymond Fisman,2250561313.0,13935.0,raymond fisman,111088046.0,262.0,166.0,11349.0,2016-06-24
49,Ali Hortacsu,208393038.0,14207.0,ali hortacsu,40347166.0,184.0,109.0,6093.0,2016-06-24
51,Cecile Gaubert,2797130894.0,17570.0,cecile gaubert,95457486.0,26.0,11.0,142.0,2018-04-24
53,Leonardo Bursztyn,2061712910.0,15759.0,leonardo bursztyn,40347166.0,73.0,39.0,2033.0,2016-06-24
55,Vicky M. Longawa,2562632180.0,19429.0,vicky m longawa,,5.0,5.0,6.0,2017-01-06
56,Ricardo Perez-Truglia,286171648.0,16090.0,ricardo pereztruglia,95457486.0,91.0,47.0,480.0,2016-06-24
57,Claudio Ferraz,2517708554.0,15856.0,claudio ferraz,2699952.0,66.0,44.0,1806.0,2016-09-16
59,Ed Martin,2942650815.0,20232.0,ed martin,,2.0,2.0,3.0,2019-05-09
65,Ezra Oberfield,576439486.0,16820.0,ezra oberfield,20089843.0,57.0,29.0,340.0,2016-06-24
76,Anna Dreber,2213548023.0,14219.0,anna dreber,180242103.0,185.0,130.0,10755.0,2016-06-24
77,Esteban Rossi-Hansberg,685834236.0,14450.0,esteban rossihansberg,20089843.0,161.0,83.0,5487.0,2016-06-24
